angle	VV	VH	HV	HH
0	-1.332820352252242	-144.8399617081273	-144.827906271569	-1.534538729541974
0.1	-1.366876591503931	-104.0821383957395	-104.1696564015432	-1.595969651180153
0.2	-1.379990080187403	-99.75637915569324	-99.80885174843203	-1.59216632823453
0.3	-1.39559443691115	-98.8957273149075	-98.93935459327098	-1.590772662335614
0.4	-1.413692356168746	-100.108823016499	-100.1524380801519	-1.591552890554489
0.5	-1.434269687375874	-103.2544615828201	-103.3068235484664	-1.594344702887213
0.6	-1.422444728273899	-109.4831530700813	-109.5696059394596	-1.565912446952334
0.7	-1.43887045334789	-126.6313109619103	-126.4424453327906	-1.561997168790936
0.8	-1.464823267924044	-110.3332699312298	-110.2684715326247	-1.567215144618972
0.9	-1.495962360519036	-105.3703234345368	-105.3411061913479	-1.577409867126696
1	-1.530599284498473	-102.8619557847552	-102.8445360900977	-1.590987410609123
1.1	-1.54238383503628	-101.3892092949914	-101.3775428185257	-1.582925154420491
1.2	-1.571186391382583	-100.4799758497662	-100.4716954031582	-1.589642862519079
1.3	-1.607301059673945	-99.91625113128887	-99.9101870256127	-1.602905353355013
1.4	-1.649626926203085	-99.57910312736183	-99.57458098677556	-1.622140183146973
1.5	-1.695369851580753	-99.39678354942939	-99.39338950092881	-1.644347505230388
1.6	-1.744425510177089	-99.32304746306976	-99.32051992721946	-1.669452963022149
1.7	-1.796819333011717	-99.32667740922156	-99.32483745176241	-1.698000327132873
1.8	-1.852520710667414	-99.38581983220203	-99.38458160256998	-1.729287127267925
1.9	-1.910445224330553	-99.48492628881755	-99.48415094006187	-1.762625606463797
2	-1.97190748019189	-99.61253177946639	-99.61214391104058	-1.799001720148389
2.1	-2.020225359465457	-99.76017150348268	-99.76011345540236	-1.822580141070489
2.2	-2.07455743845376	-99.92200039504854	-99.92174620415034	-1.851203934189116
2.3	-2.136383999794343	-100.0918100654425	-100.0922784204859	-1.886576045643935
2.4	-2.203975258893873	-100.2674862959455	-100.2681549474161	-1.927161240139434
2.5	-2.275433877695738	-100.4481486126182	-100.4466987731593	-1.971086028749182
2.6	-2.339491648616465	-100.6233786578917	-100.625886534418	-2.00771996654924
2.7	-2.407439134617122	-100.8032316693956	-100.8043008833329	-2.047421398008502
2.8	-2.482950813841166	-100.9820367379473	-100.9808552840455	-2.094186493587223
2.9	-2.563688811077975	-101.1536576215724	-101.1547954591973	-2.145155557610802
3	-2.650811810729369	-101.3244583088948	-101.325640458897	-2.202461442711233
3.1	-2.74147159971874	-101.4928429867167	-101.4930775285579	-2.262591173652341
3.2	-2.835791003620723	-101.6557684673116	-101.6568933651671	-2.326252054713086
3.3	-2.934823798436652	-101.8158919498534	-101.817045569245	-2.393586531503236
3.4	-3.036699720082752	-101.9723612916968	-101.9735218804514	-2.464058779557768
3.5	-3.142357297991718	-102.1237392556464	-102.1263544275926	-2.537471333790617
3.6	-3.251108067167719	-102.2746790722588	-102.2756975172494	-2.613604321749742
3.7	-3.34545605919267	-102.4199295079499	-102.4215845082434	-2.67483203020358
3.8	-3.455886510527739	-102.5631609078374	-102.5642112931749	-2.751443696207037
3.9	-3.570233267610306	-102.7008096035143	-102.7036535088142	-2.831412177767747
4	-3.690467660110653	-102.8404380123344	-102.8401668984228	-2.916364456359502
4.1	-3.813445286442987	-102.9713842197195	-102.9737177532593	-3.004080858462532
4.2	-3.927802783379164	-103.1036841435455	-103.104650778948	-3.081719730794031
4.3	-4.055071399700167	-103.2319456495752	-103.232997783503	-3.171616576991132
