angle	VV	VH	HV	HH
0	-4.007771787884367	-67.49661201473307	-67.49653856912884	-5.570294762362112
0.1	-4.043961988169701	-67.9396376219225	-67.93957747640459	-5.5164863566728
0.2	-4.175002549378875	-67.862893264143	-67.86289292456468	-5.346281496483858
0.3	-4.38025041885229	-68.38303651992271	-68.3830423019473	-5.087638783435839
0.4	-4.628262177660599	-68.34335183891945	-68.34335522348759	-4.783189895715881
0.5	-4.886822256552454	-68.31696792012544	-68.31697640961139	-4.475649678951411
0.6	-5.112604472074338	-68.31696385261021	-68.31695003989739	-4.211814405133029
0.7	-5.265126558343642	-68.39172040805329	-68.39170066390469	-4.024942772734994
0.8	-5.316984684055567	-68.38818217039397	-68.38816776476817	-3.930314390263343
0.9	-5.259642550833824	-68.34981727817444	-68.3498325208778	-3.92966673560046
1	-5.107100630229135	-68.30141633168186	-68.30144669314808	-4.016060844721897
1.1	-4.899471909351726	-68.27822041731847	-68.2782394465905	-4.171415221320364
1.2	-4.685622547101957	-68.72784239981121	-68.72782815550784	-4.372283008073465
1.3	-4.50084466913742	-73.36448433073824	-73.36442238088451	-4.595000096033038
1.4	-4.387255867601162	-73.58273069893175	-73.58266561359555	-4.810142789087225
1.5	-4.356073229944359	-72.19817655541847	-72.19814226072887	-4.980285450788642
1.6	-4.409018338883568	-72.45746697445843	-72.45749263703107	-5.070672462463033
1.7	-4.518473433659056	-74.77973191535924	-74.77988042527298	-5.074625001569128
1.8	-4.661719978751919	-74.34953385637547	-74.34971004115967	-4.987712714989462
1.9	-4.806204746790737	-74.19331415865108	-74.19340536554286	-4.824639179467681
2	-4.910540744149838	-73.99534220668501	-73.9953385667158	-4.624196307948472
2.1	-4.956309509071675	-76.43532040480288	-76.43505672214698	-4.424361327250759
2.2	-4.948617134172149	-75.45896518404476	-75.45869217219361	-4.255465621919029
2.3	-4.905752238306709	-77.56728560920453	-77.56717989541488	-4.151808194235701
