angle	VV	VH	HV	HH
0	-4.768329787524866	-126.7649353656104	-126.7105961002914	-4.587910905835671
0.1	-4.764573767822896	-129.505541170067	-129.4522242419375	-4.588628764638703
0.2	-4.752635712883512	-130.0681915581335	-130.0185821735166	-4.589497548248049
0.3	-4.731179336347588	-127.1185403354155	-127.0729103102927	-4.587319547244823
0.4	-4.701089082656901	-124.1806578045428	-124.1375243890092	-4.580059540881551
0.5	-4.666532428522271	-122.1900415325384	-122.1492300061484	-4.568385364318869
0.6	-4.633234372955878	-121.0685129009755	-121.0302714972583	-4.554743927252075
0.7	-4.605251749282352	-120.7161919769458	-120.6809937081621	-4.540808301501357
0.8	-4.583374391387077	-121.1091654006953	-121.0777744340518	-4.52629904318483
0.9	-4.566588820194487	-122.3064162855219	-122.2800408939169	-4.510520595371966
1	-4.555360565715137	-124.4622386207659	-124.4425247237263	-4.495393425922281
1.1	-4.553743188899057	-127.7422195348151	-127.7279448326721	-4.48705383165171
1.2	-4.568194196420829	-130.9354207430897	-130.8954872551797	-4.494083620511582
1.3	-4.603668451874213	-129.579936829125	-129.5012471703557	-4.523169810407661
1.4	-4.659596842019949	-126.5361679762967	-126.4642529540652	-4.574891537927311
1.5	-4.728203965950383	-124.5419506775103	-124.4802955979758	-4.641999592403519
1.6	-4.795931901501283	-123.6176047053233	-123.5640426852271	-4.710843123106981
1.7	-4.847052482195211	-123.5961465806773	-123.5495759847162	-4.765026222618596
1.8	-4.867905730227766	-124.414064160282	-124.3744738859277	-4.789816656887632
1.9	-4.850650035474899	-126.1190838092925	-126.087573090844	-4.776243053304874
2	-4.796111604366748	-128.9090434920385	-128.8886150721558	-4.724310866912876
2.1	-4.715075367200962	-133.3063576099703	-133.3059418036209	-4.644518990237342
2.2	-4.627148548815666	-140.9738867836369	-141.0465325840424	-4.556681218104918
2.3	-4.556250645909199	-150.4348987928295	-150.8689710483739	-4.485140708144806
2.4	-4.524215001538597	-142.5235383323387	-142.6051652502435	-4.45213117718188
2.5	-4.544398864123643	-141.1858434509649	-141.3352799164705	-4.471245995483915
2.6	-4.617431359845084	-142.6755667469567	-143.0376661088555	-4.543180774455394
2.7	-4.730167637662834	-140.7178602350726	-140.9504716076011	-4.654757701949229
2.8	-4.858166148555406	-135.3899357706899	-135.4161817931904	-4.781499288419033
2.9	-4.971722442712241	-131.4124020486641	-131.3922984084974	-4.893734071859782
3	-5.044410818753463	-128.7361918019308	-128.7058645840209	-4.965219215821416
3.1	-5.06140556500371	-126.9303943006099	-126.8984678631282	-4.981437697334767
3.2	-5.024207652721053	-125.6538896069168	-125.621745872319	-4.94419306536371
3.3	-4.949393195498121	-124.5882975713355	-124.5544428278266	-4.870237918006639
3.4	-4.862029871849126	-123.4480507337186	-123.4104850135101	-4.784568768330622
3.5	-4.78701696756005	-122.0957721929959	-122.054219524675	-4.711774150241727
3.6	-4.741756441659096	-120.6044458186922	-120.560704165666	-4.668787779395817
3.7	-4.732286546219105	-119.1489621582406	-119.1052809743073	-4.661136796968584
3.8	-4.753622038963838	-117.8737957136765	-117.8317541804574	-4.68340463380683
3.9	-4.793961037291066	-116.8539796752047	-116.8143958349921	-4.723558160039073
4	-4.841138108514913	-116.1104513495033	-116.0736323463171	-4.769485718099331
4.1	-4.888514437080526	-115.6299159551146	-115.5958770594121	-4.814890479075443
4.2	-4.93688154252645	-115.3760283524462	-115.3445431636477	-4.86106749217403
4.3	-4.991846383094941	-115.2947509762004	-115.2654069510326	-4.914121386040827
4.4	-5.058315109945699	-115.3206242634686	-115.2927878991542	-4.979306771148345
4.5	-5.135345336879443	-115.3891845198852	-115.3621054259598	-5.055799077910983
4.6	-5.213993061079077	-115.4554118149888	-115.4283191566382	-5.134576947415446
4.7	-5.278872926007851	-115.5079801490849	-115.48018314977	-5.20003290102612
4.8	-5.313264137988083	-115.5674250518569	-115.5383898349055	-5.23518893338631
4.9	-5.306156335848926	-115.6691451344943	-115.6383542978676	-5.228856740203904
5	-5.258210905660158	-115.8437601928678	-115.8106691643632	-5.181661582249677
5.1	-5.183232443690845	-116.1064165125792	-116.0703811499656	-5.107480096091502
5.2	-5.103805840605034	-116.4570946733734	-116.4175002871959	-5.028973509438801
5.3	-5.043154786017858	-116.8894510939997	-116.8458986906162	-4.969350082910504
5.4	-5.017148435273892	-117.403176454182	-117.3557470475795	-4.944339321505082
5.5	-5.02969224297418	-118.0141930346462	-117.9635474038438	-4.957617805740212
5.6	-5.073009425477157	-118.7574017119811	-118.7047618701887	-5.001171959933797
5.7	-5.13264858507763	-119.6814833845919	-119.6285051427838	-5.06040773339807
5.8	-5.195236830700281	-120.8385210530284	-120.7873290396502	-5.121985793171073
