angle	VV	VH	HV	HH
0	-5.692174599837517	-102.8186092347342	-102.8197427548745	-3.971133044374689
0.1	-5.627314890303557	-104.1564689070644	-104.1589439081069	-4.019484170070755
0.2	-5.445859710479199	-107.6974248560801	-107.7021148255207	-4.155505597234006
0.3	-5.17252217455697	-117.0292127279463	-117.039940547885	-4.358008051381985
0.4	-4.848032498696671	-114.9452019208734	-114.9290874315109	-4.595908388117048
0.5	-4.522352089854563	-107.0255986979502	-107.0202540136423	-4.833042573804391
0.6	-4.243352136036983	-103.8750099049645	-103.8720485737419	-5.032981318423971
0.7	-4.046818888990185	-102.7767156734333	-102.7748485480036	-5.163184998403878
0.8	-3.951789344098378	-103.22016554253	-103.2189771879454	-5.200350215610195
0.9	-3.960751754751532	-105.3746432891379	-105.3739911978522	-5.137580089957764
1	-4.062572089215042	-110.4028177617802	-110.4027969440199	-4.989894854730307
1.1	-4.236217823607574	-121.1598093954085	-121.1598081083604	-4.792301980708404
1.2	-4.454076580939262	-110.4381602746542	-110.437368973587	-4.58950427301656
1.3	-4.684390945632668	-105.5246334280633	-105.5242835380961	-4.423070946229407
1.4	-4.893343979261818	-103.4800905403743	-103.4799969091627	-4.322306108493993
1.5	-5.048133330197753	-103.161485706139	-103.1615815170955	-4.300617473459079
1.6	-5.122167478159689	-104.3987897068743	-104.3989980425783	-4.355721273793001
1.7	-5.10194981216806	-107.7897059601262	-107.7898660942035	-4.471274409887558
1.8	-4.992373673612986	-116.6966568147454	-116.6946839212768	-4.619403862941461
1.9	-4.816806506659138	-117.0511484395818	-117.0501272533649	-4.765315409878028
2	-4.611325682603044	-108.0599540008958	-108.0610136550062	-4.875593784036623
2.1	-4.415800944331536	-104.7225808311175	-104.7240119504505	-4.929244664285029
2.2	-4.265548454485927	-103.572400748287	-103.5741812033235	-4.926327685016124
2.3	-4.185038383483153	-104.0139058402284	-104.0161479366354	-4.887424564364303
2.4	-4.184308761369828	-106.1996519152284	-106.202605243676	-4.843860191309429
2.5	-4.257485416889145	-111.3611767682771	-111.3652046491281	-4.824491820960307
2.6	-4.383716466500076	-123.9972733688466	-123.959277333537	-4.845994992119326
2.7	-4.531425864308064	-111.4743962591287	-111.4689174972484	-4.908996942171735
2.8	-4.66614289957321	-106.5686943672526	-106.5675509801045	-4.999137479390609
2.9	-4.760596927355695	-104.6134139100876	-104.6141119539907	-5.091360673460239
3	-4.802876282366325	-104.4243758398672	-104.4268138352677	-5.156661801417232
3.1	-4.798611985104778	-105.8086613013728	-105.8137240946314	-5.170282279283183
3.2	-4.766718176892265	-108.9048373335106	-108.9146962392131	-5.120090720125868
3.3	-4.731617666283586	-111.8332661924282	-111.8414865325257	-5.012024434546455
3.4	-4.715202033217443	-108.8258674500371	-108.8200937625719	-4.869248424299753
3.5	-4.730074404904402	-105.355460597581	-105.3477305614639	-4.725114911428885
3.6	-4.774780006468822	-103.5476931171518	-103.5399632895404	-4.613302074800218
3.7	-4.83232736153897	-103.217119444064	-103.2092660611382	-4.55956548344625
3.8	-4.874510209455389	-104.3773401664639	-104.3691325090591	-4.577282567067869
3.9	-4.873409584816281	-107.5225512497865	-107.5149658368721	-4.666680975268862
4	-4.816316074947694	-113.6071909978639	-113.6217446884631	-4.816637432005216
4.1	-4.714934772925221	-111.4217991222449	-111.4514186710047	-5.008016080591574
4.2	-4.601325447828801	-105.6446688488974	-105.65370300626	-5.217252586817084
4.3	-4.513960368893976	-102.6333480219704	-102.6359370716151	-5.419975572044233
4.4	-4.482890635233416	-101.3192020279102	-101.3183716806774	-5.593931011580622
4.5	-4.520196616574676	-101.3137518780836	-101.3100913503699	-5.721334346147476
4.6	-4.616536079651771	-102.592864946473	-102.5858685569146	-5.791161783141206
4.7	-4.742585093435513	-105.4462302009932	-105.4342397694487	-5.801028316423078
4.8	-4.856192232118811	-109.920199121015	-109.905499129583	-5.758170307323534
4.9	-4.916547371039584	-109.7574022900616	-109.7682168093951	-5.678431714568108
5	-4.902210802535588	-105.4074248574676	-105.4190898467827	-5.582813132610519
5.1	-4.822895503794127	-102.7442889108105	-102.7521659139189	-5.492130900129308
5.2	-4.715718613565479	-101.6242932890243	-101.6291193099102	-5.421236521947886
5.3	-4.628330999403023	-101.744935258795	-101.746767086298	-5.374709317929641
5.4	-4.600303295121946	-103.0049797086254	-103.0027503690191	-5.345913944056018
5.5	-4.650982046046325	-105.2068260407378	-105.1978604592859	-5.3209611913254
