angle	VV	VH	HV	HH
0	-4.761301694982457	-112.1445558390064	-112.1283856735443	-4.580855987427862
0.1	-4.756034536081587	-120.0683842244572	-120.0796780931719	-4.580057303666707
0.2	-4.743209752789953	-125.3465649121751	-125.5062465839243	-4.58003036568954
0.3	-4.721570933849227	-116.4335218823602	-116.4338969824974	-4.577665214781849
0.4	-4.692128524869343	-113.412104869682	-113.3952239950385	-4.571049572355877
0.5	-4.659146944408732	-112.4894814711142	-112.4659612500818	-4.560964832670834
0.6	-4.628169735583434	-112.6568752623363	-112.6318724776948	-4.549669671058501
0.7	-4.602754800184622	-113.1839079939203	-113.1665438658876	-4.538334464990027
0.8	-4.582934453772056	-113.2526417835092	-113.255893323697	-4.525914368378007
0.9	-4.566926308842676	-112.5638808275935	-112.5914693218892	-4.510937835888741
1	-4.554719252561284	-111.632264335132	-111.6783038325517	-4.494847584336483
1.1	-4.550339288145631	-110.9744346270359	-111.0315001604228	-4.483755942626995
1.2	-4.560736942058999	-110.9307224696793	-111.003023552098	-4.486741907813934
1.3	-4.591508346115976	-111.5766595281068	-111.6630387737721	-4.511125332578339
1.4	-4.642732336155749	-113.1583483402302	-113.2661240466078	-4.558129748847178
1.5	-4.707270072232933	-116.1390139331548	-116.2950339028303	-4.621144250239938
1.6	-4.772180268934044	-121.1650934395511	-121.4702494564491	-4.687143000868744
1.7	-4.822327443652764	-121.4141601744429	-121.5677018554367	-4.740334071954594
1.8	-4.844504676250924	-115.7909836365322	-115.798007699814	-4.766449958835496
1.9	-4.830978385978456	-112.2162071829548	-112.2024406329621	-4.756623864745977
2	-4.782117016540353	-111.1402899108374	-111.1012443133635	-4.710394328596855
2.1	-4.707909896978797	-109.9525359383342	-109.9122372662756	-4.637459415915541
2.2	-4.626824738762997	-109.453301973188	-109.4084549866318	-4.556483840382734
2.3	-4.561901056356569	-109.6065657983092	-109.5537743749352	-4.490936948383453
2.4	-4.534455630985238	-110.4652674733358	-110.400228378206	-4.462539289049988
2.5	-4.557716240418753	-112.1880150582939	-112.1038770658383	-4.484755535811223
2.6	-4.632446820174636	-115.1549080523707	-115.0379198868998	-4.558412490284313
2.7	-4.745747570539765	-120.4974473952574	-120.3090444377452	-4.670569616298114
2.8	-4.87347978870624	-134.8306177885979	-134.7982975774904	-4.797040574838086
2.9	-4.98623131456971	-123.98831109351	-124.2319397125544	-4.908451920874219
3	-5.057770691597232	-118.1500799694345	-118.2074268200491	-4.978755547631977
3.1	-5.073399323745812	-115.3236536877936	-115.320348121124	-4.993561283244855
3.2	-5.034668206677647	-113.554041327373	-113.5210616023381	-4.954739765303263
3.3	-4.958125274359792	-112.0953052241629	-112.0537934518751	-4.879015439562966
3.4	-4.868794015637878	-110.6037365326644	-110.569779278716	-4.791344142731874
3.5	-4.791553383268017	-109.0447986706925	-109.0241171933353	-4.716295105112403
3.6	-4.743849037262962	-107.5393735687603	-107.5288565716327	-4.670844185708095
3.7	-4.731860848345432	-106.1950017209485	-106.1887364431715	-4.660656457902793
