angle	VV	VH	HV	HH
0	-5.727761482758494	-76.57138744413687	-76.57110130876205	-3.90156312299316
0.1	-5.666370714590927	-73.32451553642284	-73.32401464731477	-3.943657376779534
0.2	-5.479341722677001	-71.92728812676144	-71.92668526606104	-4.085167015181396
0.3	-5.191983784865824	-71.84067317589358	-71.83997622596685	-4.304562513519309
0.4	-4.846809861709699	-72.96339478295837	-72.96256555120959	-4.569260696253249
0.5	-4.49929881626594	-75.58190608486481	-75.5808397005402	-4.838505136814626
0.6	-4.203513181202878	-80.53218363923989	-80.53063690453885	-5.068534558670379
0.7	-3.999232550876521	-86.5245518213157	-86.52414247207557	-5.219158833700572
0.8	-3.905969685111486	-80.89068057522786	-80.89112827837982	-5.262832994745934
0.9	-3.922949230377925	-76.94931558571196	-76.94920105234151	-5.194486620310082
1	-4.033303336738536	-75.2229856132237	-75.22245227411021	-5.035392257694573
1.1	-4.211387011336318	-74.92243544207804	-74.92152490186966	-4.82542516831307
1.2	-4.425510260241365	-75.12654696823675	-75.12533550530949	-4.61361113083453
1.3	-4.644715511764835	-75.69556295372922	-75.69457594183108	-4.441577099257499
1.4	-4.839342489850814	-75.08925316099092	-75.08921810069654	-4.337733609891277
1.5	-4.981380324582901	-74.22618644467556	-74.22690195449745	-4.315148267807012
1.6	-5.050377233976735	-72.43843173650876	-72.43934960555985	-4.36920382020713
1.7	-5.035873170203749	-71.38193624708913	-71.38280791741241	-4.481249408397403
1.8	-4.942789673767098	-70.98840863031084	-70.9891486548667	-4.620789342985907
1.9	-4.79345531554559	-71.7333393018538	-71.73396115193553	-4.749969480654693
2	-4.619820168846928	-73.28602223603934	-73.28675238929996	-4.836526532790549
2.1	-4.456401495245591	-74.55573494677472	-74.55645801502095	-4.865391283491832
2.2	-4.33206321138208	-73.71243052708297	-73.71305258492826	-4.845580813583238
2.3	-4.264326344870511	-71.55777355504074	-71.55834797533548	-4.806488484347319
2.4	-4.257956713357025	-69.79197974932114	-69.79256949893966	-4.783318693327734
2.5	-4.304524068982393	-68.85372537396114	-68.85435646804967	-4.803741593788219
2.6	-4.385728353335722	-68.89030719544914	-68.8909976491603	-4.878589021640344
2.7	-4.478416292332856	-69.99938529427791	-70.00015251166137	-4.999706112494311
2.8	-4.561577541715453	-72.29521899848552	-72.29604977139179	-5.141956142474995
2.9	-4.622387401260795	-75.05234182768612	-75.0529589363922	-5.268885437595173
3	-4.659172568982611	-74.40830095016912	-74.40840212057446	-5.341335880141872
3.1	-4.680153182752756	-71.28976573997197	-71.28990784431817	-5.329119093063333
3.2	-4.698490421734614	-69.01441797805808	-69.01470488019174	-5.223463569101055
3.3	-4.727451639665822	-67.9061876520643	-67.9065910482973	-5.042656673526425
3.4	-4.775571547869093	-67.94066344687828	-67.94116614583088	-4.827040615317734
3.5	-4.841757154742364	-69.07328537587722	-69.07386856852814	-4.626373205380322
3.6	-4.913329149248206	-71.22510635936166	-71.22566098578082	-4.484655703986854
3.7	-4.966948292218576	-73.22523621495885	-73.22523196902407	-4.430642172843978
3.8	-4.975858389869575	-71.67252812450138	-71.6719154806492	-4.474196134462262
3.9	-4.923698055561239	-68.50759449369517	-68.50704606468949	-4.605962007072019
4	-4.815449548163267	-66.14187728803404	-66.14143448371584	-4.801603156689842
4.1	-4.679284634605788	-64.74972137134139	-64.74931195782861	-5.027382613799213
4.2	-4.555582272368301	-64.25415519656309	-64.253722721027	-5.248673833480598
4.3	-4.481678741585146	-64.5525619128063	-64.55204244739025	-5.437939692665886
4.4	-4.480060947865378	-65.562677822756	-65.56202202683379	-5.579209680044938
4.5	-4.551245221472193	-67.08850704171458	-67.08769583412455	-5.668838267524151
4.6	-4.672590969548353	-68.28169517217152	-68.28089739267946	-5.71177573441354
4.7	-4.802694384986551	-67.81653018958677	-67.81604828520207	-5.716847777971614
4.8	-4.891990478105857	-66.18251390162199	-66.182259014077	-5.695139988026384
4.9	-4.903759401317828	-64.6654877060528	-64.66526938965012	-5.656824919558375
5	-4.832479587860293	-63.78953417097339	-63.7892615511527	-5.610875615741487
5.1	-4.709322817335009	-63.61403963488833	-63.6136678233531	-5.562675598270723
5.2	-4.587698052017078	-64.16942633621554	-64.16891291779508	-5.512755453495757
5.3	-4.520178356843204	-65.40458347847262	-65.40386407417819	-5.457464208297877
5.4	-4.540691733510679	-67.07344730621828	-67.07245298667198	-5.391562504407366
5.5	-4.655234486139187	-68.46400702206761	-68.46281517518463	-5.313338904490416
5.6	-4.840198135471638	-68.49755109561013	-68.49652164152658	-5.229371206576818
5.7	-5.048429490440204	-67.48825213890852	-67.48752004848788	-5.155640314830846
5.8	-5.224373612809982	-66.54399502113998	-66.54343115879153	-5.114518585206599
5.9	-5.327776652226863	-66.16429306551946	-66.1637809479775	-5.127412671242569
6	-5.3534000941311	-66.4705168504933	-66.4699795894188	-5.206139916274037
6.1	-5.330440784556394	-67.49600160546743	-67.49536808435772	-5.346938569922537
6.2	-5.304014496740851	-69.16172427607512	-69.16092500422917	-5.527313845033034
6.3	-5.312531976918886	-70.93535538291438	-70.93432994454493	-5.709279684923363
6.4	-5.372331635343376	-69.49421727508708	-69.49343812134052	-5.852510979393623
6.5	-5.477437419622165	-70.03448937640107	-70.03385218010865	-5.927667087491423
6.6	-5.598167579832469	-70.30363867673896	-70.30326505532835	-5.936548823664987
6.7	-5.68694270488955	-70.16687616810933	-70.16675502718557	-5.908047840362651
6.8	-5.704305186834128	-69.97860189239839	-69.97873159160866	-5.885143795664092
6.9	-5.634078871337284	-68.75336535147258	-68.75366575477618	-5.902306594702544
7	-5.487145641483826	-69.83755935343842	-69.83810793619314	-5.978947657968503
7.1	-5.306903070125273	-70.81923110176899	-70.82003926978496	-6.098526424829376
7.2	-5.141481691220271	-70.8959522078013	-70.89692421490787	-6.219976476330533
7.3	-5.028307690804048	-70.28110881955244	-70.28218755173344	-6.291203611998442
7.4	-4.984169451302564	-69.76376821158364	-69.76498933454555	-6.278538509179485
7.5	-5.005026157441399	-69.77206986246533	-69.77348440273857	-6.190486905841062
7.6	-5.068334097889604	-71.29176023111371	-71.29423971258413	-6.079772988833105
7.7	-5.149157598659688	-77.10458780687586	-77.10738840548015	-6.004439894118438
7.8	-5.226871455878472	-75.45757656798591	-75.45601310739262	-6.014911302053378
7.9	-5.291269374028687	-70.50380743032041	-70.50297228133624	-6.123307227471452
8	-5.343351554782502	-69.94715065355065	-69.94608556742159	-6.295145196126688
8.1	-5.418429245633895	-73.35740502896181	-73.35651599158288	-6.467005347106635
8.199999999999999	-5.52435665116521	-73.41472284758795	-73.41440317747244	-6.577681613940841
8.300000000000001	-5.677586641272933	-76.59977132288743	-76.60089199405982	-6.593499702039937
8.4	-5.861785613008967	-75.26367738027888	-75.2656626010811	-6.538676544935081
8.5	-6.061109957722573	-74.21190402756966	-74.21446822233497	-6.482841736256461
8.6	-6.256933755413309	-69.61442473261867	-69.61628115038505	-6.481693784540463
8.699999999999999	-6.419105133179772	-71.40161855726571	-71.40420981871148	-6.559734230216377
8.800000000000001	-6.579033985884561	-72.74588021319074	-72.74953205807924	-6.711552280143358
8.9	-6.714510888508061	-73.06047146258395	-73.06410861632793	-6.877886375439656
9	-6.851206664188567	-77.29883599842098	-77.30213252661942	-6.992203673680257
9.1	-6.99945713356604	-74.16757096893039	-74.16937136760431	-6.99330907859915
9.199999999999999	-7.153444424203689	-67.66618564169607	-67.66580783198491	-6.881079211368451
9.300000000000001	-7.312594649994891	-70.50140074665761	-70.49964594691595	-6.715265938459131
9.4	-7.420924994712913	-74.92841019514371	-74.92541300829396	-6.566331586921792
9.5	-7.452492341181842	-71.71183168948245	-71.71102037615699	-6.476993633717029
9.6	-7.404772002140987	-71.22824842779231	-71.22792084146373	-6.465695568436692
9.699999999999999	-7.308633726580457	-74.12626122329578	-74.12781164635145	-6.500746155516225
9.800000000000001	-7.217537956741977	-69.69968905098163	-69.70093028481708	-6.523533714395249
9.9	-7.186421257008172	-67.54318490076722	-67.5438758683419	-6.489134552120125
10	-7.27946591062339	-64.58832043321857	-64.58893794261186	-6.390305750233085
10.1	-7.500870551618201	-62.44535378044062	-62.44584285301703	-6.241750016044383
10.2	-7.755691749447795	-63.65754446744452	-63.65835896812541	-6.109406106305023
10.3	-7.961819569389569	-62.18132981587412	-62.18216280917311	-6.031975749620814
10.4	-7.979724182893175	-64.10229331068911	-64.10334967222576	-6.031101728610652
10.5	-7.899020793517368	-67.8461190382168	-67.84751537871736	-6.081184355341836
10.6	-7.786174359470741	-63.81648014309533	-63.81676338705514	-6.158271067966679
10.7	-7.751038651895518	-60.86019315757719	-60.86005832442168	-6.20824240754541
10.8	-7.847848151200365	-58.36841339676117	-58.36826085536345	-6.227145146439073
10.9	-8.062735101683975	-59.86491987905638	-59.86469803748325	-6.23421057314855
11	-8.345940137313699	-61.59260960802367	-61.59225928725139	-6.26331835304546
11.1	-8.565802053236443	-68.19648966842752	-68.19628043210786	-6.354713724503331
11.2	-8.665811752410733	-64.71480004244106	-64.71529849028956	-6.509044489974324
11.3	-8.682889756251775	-62.62904344754267	-62.6293800320863	-6.704701314796063
11.4	-8.744722911337929	-60.22194905623176	-60.22173608446253	-6.898934149061126
11.5	-8.910338511097695	-59.72895461566487	-59.7284139335754	-7.058202708417182
11.6	-9.216128021953008	-58.09913539346752	-58.09842471522497	-7.166248833865768
11.7	-9.604376753486404	-57.13320628857467	-57.13246738250236	-7.268190692101851
11.8	-9.928193805526618	-56.82511385941418	-56.82446567774811	-7.400808828856967
11.9	-10.10964667413589	-58.47840693836698	-58.47781688830226	-7.597915272775817
12	-10.14826610617123	-59.5143118150538	-59.51398143907397	-7.888592570859906
12.1	-10.20106352523073	-66.29492101185701	-66.29477233249486	-8.252391178210608
12.2	-10.32098046258637	-64.1883195013676	-64.18802842800689	-8.630070563369456
12.3	-10.58776649964026	-66.11788174066965	-66.11705269408621	-8.962576573146082
12.4	-10.96458570636373	-63.83867593975004	-63.83771756252231	-9.228167072539492
12.5	-11.33835456974523	-63.19178212372672	-63.19079867961619	-9.453356406888517
12.6	-11.59751111179122	-59.55631404661481	-59.55567941239683	-9.707227707202279
12.7	-11.682592627135	-60.69176264560738	-60.69109331553292	-10.05504557656845
12.8	-11.72870433727965	-64.78485077176133	-64.78390198617132	-10.49597710486443
12.9	-11.91305435901758	-67.3865266177541	-67.38522551656983	-10.96045880809725
13	-12.22585756630746	-67.76925013954548	-67.7677622753926	-11.37673494466667
13.1	-12.69284074676606	-67.50062837417774	-67.49906580921765	-11.66325580176914
13.2	-13.0965693494739	-65.05085194572888	-65.0496741048353	-11.89971865230048
13.3	-13.34399417263761	-63.62956727978059	-63.62880756743209	-12.18051809924986
13.4	-13.33515310679415	-61.32817260144371	-61.32765606092143	-12.6296469004326
13.5	-13.29141414811349	-61.01592239009787	-61.01550527005706	-13.27787380012075
13.6	-13.42239150275961	-63.88147440433977	-63.88144720184482	-14.00084512054994
13.7	-13.75494388321816	-63.18133385912481	-63.18221048948999	-14.66368815324015
13.8	-14.26179650882989	-65.82810354163362	-65.82954167261502	-15.11887260275248
13.9	-14.83803893410779	-66.73810499106197	-66.74009067607801	-15.36075181915953
14	-15.24936817050311	-71.15054542291979	-71.15497146207824	-15.59884021894566
14.1	-15.36780724231978	-70.33088129474629	-70.33434252413365	-16.0106047855772
14.2	-15.23895532274739	-67.17672145486853	-67.17730424914409	-16.72198429426967
14.3	-15.15410106786934	-65.33165336650138	-65.33120494458244	-17.62276673829625
14.4	-15.31693443779331	-65.89127723511049	-65.8904075046626	-18.45962871589392
14.5	-15.81070033356666	-63.11829563195388	-63.11783852935262	-18.96875010867303
14.6	-16.55387172760313	-61.46078138651058	-61.46072746519238	-19.10534843564421
14.7	-17.2944110552594	-60.35569747400924	-60.35595468768781	-19.2908375700948
14.8	-17.87127834056874	-59.60559472439971	-59.60606973137579	-19.72979980837271
14.9	-17.94314247634043	-59.63374241612708	-59.63443839002642	-20.57910676830623
15	-17.77944947739141	-60.88307138556345	-60.88404146918275	-21.61337799469061
15.1	-17.7516964182516	-61.20485521655119	-61.2060268035157	-22.34046110768078
15.2	-18.01851895155981	-63.96879588727575	-63.97029200688437	-22.49415266300021
15.3	-18.49695635160838	-72.7473866113952	-72.75080504243606	-22.38082886547581
15.4	-19.15261710074606	-75.48419969002302	-75.48675905122013	-22.57433808390005
15.5	-19.71512816510824	-73.99260126866172	-73.99187990499505	-23.35581422975499
15.6	-19.89903123355201	-66.91965331583117	-66.91971460037391	-24.88962155052621
15.7	-19.97315335189063	-63.26062544494203	-63.26097024819943	-26.65870712361805
15.8	-20.06480539668271	-61.22366606528186	-61.22418866563685	-27.45606909934853
15.9	-20.4770006122045	-62.71501403317273	-62.71597427665935	-26.49557580802337
16	-21.17504481555493	-63.30449903466037	-63.30587272454385	-25.10006977781143
16.1	-21.85473295909844	-65.9877397960085	-65.98990882088407	-24.37897488264989
16.2	-22.2054717277577	-73.14738062978643	-73.15236735598872	-24.46541149986088
16.3	-22.10825996816525	-75.4949310276081	-75.48901259093978	-25.29066718289785
16.4	-21.85850821650197	-68.77769890352111	-68.77449191742699	-26.69122245248156
16.5	-21.96334800467901	-66.44526813036779	-66.4428291980395	-27.9398426907376
16.6	-22.73372742521854	-66.61836687241315	-66.61631156938088	-28.13547585285847
16.7	-24.22560857511319	-66.87414363706135	-66.87268164706657	-27.69706771882293
16.8	-26.29647014584322	-70.81463220570426	-70.81285162479767	-27.28347846909631
16.9	-28.16554078114859	-75.684809918008	-75.68231439874249	-27.38109097589049
17	-28.19796061190669	-86.0149569838657	-85.99557622040226	-27.78149612755252
17.1	-27.27591726045495	-72.7328260081778	-72.72902329581623	-28.11664299773924
17.2	-26.59125212562244	-66.56004716926753	-66.55832542279212	-27.87015108662544
17.3	-26.76376794882094	-63.23385449201169	-63.23222975844686	-26.90775069703701
