angle	VV	VH	HV	HH
0	-23.32657433319007	-262.3386685652634	-259.1312455415299	-23.32657437089239
0.1	-23.32656860997629	-208.9398845492295	-208.6724624119425	-23.32656863812907
0.2	-23.32655973621279	-209.8933016463724	-209.1767049231038	-23.32655978278135
0.3	-23.32655502741317	-200.352069736146	-199.9988150116474	-23.32655508224285
0.4	-23.32654473839697	-194.8851774900417	-194.6467481946854	-23.32654481066013
0.5	-23.32652671258485	-191.561507243369	-191.3654644336397	-23.32652678314825
0.6	-23.3265042704862	-190.7416770322718	-190.5236624891026	-23.32650433195421
0.7	-23.32648334166491	-187.9991675466076	-187.8102826778733	-23.32648340146153
0.8	-23.32646384974043	-188.4273073304456	-188.2012162226142	-23.32646389417655
0.9	-23.32644712961511	-192.8579616479177	-192.4464205747735	-23.32644716698342
1	-23.32642799054565	-198.926940889753	-197.9171359195453	-23.32642796785133
1.1	-23.32640928505794	-203.8040162177938	-201.9631072424413	-23.32640927021606
1.2	-23.32638501475401	-203.1337912321952	-201.2983436000766	-23.32638497376759
1.3	-23.32635803044673	-207.8694073881898	-205.2967676940249	-23.32635796207204
1.4	-23.32633172984173	-198.8014321347089	-197.3103349044406	-23.32633165980078
1.5	-23.32630453138265	-204.960386334854	-201.4372587776381	-23.3263044441042
1.6	-23.32627643384202	-205.3659846347041	-203.0596380115898	-23.32627635154841
1.7	-23.32625111651984	-199.0611364649948	-197.4125103172039	-23.3262510415692
1.8	-23.32622463034808	-201.5237906961537	-199.1706255693029	-23.32622456174419
1.9	-23.3261967059438	-197.2319892459758	-195.6293710459975	-23.32619667809178
2	-23.32616535136454	-195.7219843530499	-194.3347805548217	-23.32616534213533
2.1	-23.32612947507474	-192.8804174956285	-191.9795700136945	-23.32612946150266
2.2	-23.32609598105737	-196.3475040044943	-195.8689537224762	-23.32609599423387
2.3	-23.32606038898523	-200.3869672643306	-202.7912383422132	-23.32606043357234
2.4	-23.32602132102286	-197.6317201870312	-199.0822310640862	-23.32602137841317
2.5	-23.32597658580749	-196.9850988525181	-198.2493311745363	-23.32597664989918
2.6	-23.32592896691876	-197.3609328169837	-198.7020881119396	-23.32592904354748
2.7	-23.32588164149186	-210.7440392472265	-200.4686778020897	-23.32588171907825
2.8	-23.32582989103764	-196.1548904404179	-194.524845908269	-23.32582996628228
