angle	VV	VH	HV	HH
0	2.89428099503311	-131.9141458446213	-131.9130140944415	2.894279932703791
0.1	2.89429993764148	-137.7987220231068	-137.7912830087174	2.894300695297843
0.2	2.894328416849019	-137.7987576844854	-137.8063308810642	2.894328627112587
0.3	2.894351838951183	-135.1648375770235	-135.1624447554601	2.894352341259711
0.4	2.894370365353435	-166.6012569628917	-166.0603328063525	2.894370034199865
0.5	2.894325258633538	-144.830508330187	-144.8561578503774	2.894323876043543
0.6	2.894353161016285	-135.4595101648266	-135.4579477121821	2.894353435696556
0.7	2.894392456391847	-143.7641198595368	-143.7507277399202	2.894391193237466
0.8	2.894378895930689	-138.6105027716564	-138.6114818421507	2.894375675110802
0.9	2.894364140800458	-158.6813139261765	-158.7521710927413	2.894358772910375
1	2.894366258277988	-134.9160135569256	-134.914950653239	2.894364809939415
1.1	2.894387427482432	-140.1958107115176	-140.1985727267815	2.894384390971751
1.2	2.894393706095855	-143.3442201861505	-143.3465987548242	2.894393054105764
1.3	2.894405671060377	-150.2874153396035	-150.2371496265158	2.894407540427582
1.4	2.894416627410839	-139.9210919083509	-139.8997484992954	2.89441681437001
1.5	2.894402058108793	-143.6956697768876	-143.6799652176512	2.894400393195453
1.6	2.894371822449894	-150.9796709789503	-150.7382520291689	2.894372307194402
1.7	2.894363746120191	-141.5794953458117	-141.5670743079646	2.894363123794565
1.8	2.894383005535172	-137.2613171215627	-137.2541329585976	2.894384231058483
1.9	2.894375214336004	-148.5874194323553	-148.5178665256376	2.894376751957064
2	2.894344207219866	-142.7144324724266	-142.7057714967392	2.894343549155873
2.1	2.894303786546391	-129.9690077323628	-129.9663803859495	2.894305159896453
2.2	2.894315817275191	-155.9345438042597	-155.5251489465952	2.894316274225198
2.3	2.894364043690532	-149.9666656348319	-149.7255310752912	2.894364994472553
2.4	2.894377745037094	-136.8272147553091	-136.8134267170552	2.894377398408259
2.5	2.894368511138285	-138.7346313586785	-138.7334385951708	2.894370016718755
2.6	2.894322323659042	-155.4880691170538	-155.1834684592712	2.894324419897181
2.7	2.89430840706064	-155.6469278721626	-155.2450669322982	2.894306774905511
2.8	2.89430751821373	-133.7847718002277	-133.7785848846736	2.894305611070725
2.9	2.894273537840093	-143.1128383544587	-143.0678055183301	2.894274919821636
3	2.894224971092699	-133.4599354046555	-133.4504271793184	2.894224265247864
3.1	2.894239374499581	-139.6834261222988	-139.6970188491493	2.894239973803687
3.2	2.89425592787624	-136.9946794429408	-136.9647242992453	2.894256038494532
3.3	2.894267048857012	-153.9590098420629	-154.1368306439456	2.894269506672108
3.4	2.894209589393536	-135.8443743308043	-135.8514288856312	2.894212239378143
3.5	2.894047600802963	-139.9564030718245	-139.8449278038419	2.894048018037052
3.6	2.893891367561732	-141.8295682168946	-141.7284647730281	2.893897511556466
3.7	2.89381826730948	-127.5727603021547	-127.5906466631016	2.89382088132968
3.8	2.893897969136014	-132.7626617448792	-132.8446757694026	2.893899432757858
3.9	2.894114090302268	-145.0910401221325	-144.6527951725864	2.894113960582904
4	2.894273663410262	-140.8793571576919	-140.7095464082211	2.894274464840088
4.1	2.894339242388684	-133.6713349375498	-133.6210037393098	2.894339316839172
4.2	2.894379528962562	-136.9877966708602	-136.9938256968557	2.894380351325053
4.3	2.894391784948511	-136.2538106334133	-136.3304036259784	2.894392522224517
4.4	2.89428602911797	-136.6464836993752	-136.8227292975974	2.894286564790363
4.5	2.894018220258292	-129.22275145829	-129.0955760109861	2.894018618137666
4.6	2.893811382565064	-126.3572355294048	-126.3129971333661	2.893810279725888
4.7	2.893808509322536	-137.4566132899276	-137.419537014979	2.893808719913785
4.8	2.893959405952371	-142.3336635510862	-142.2162153581217	2.89396129057185
4.9	2.894146972964711	-137.85093398766	-137.8086704781573	2.894146340305509
5	2.894172109347903	-145.2912789055258	-145.3996962166728	2.894172710622104
5.1	2.894057207921764	-146.0643545155675	-146.254980034507	2.894058522505628
5.2	2.893813929571644	-129.6639905237847	-129.6601948137422	2.893813249389837
5.3	2.893890753954758	-137.5810136164035	-137.7289997873256	2.89389070726111
5.4	2.894111251138108	-148.8137572782224	-149.6855676669084	2.894109803806651
5.5	2.894214805794635	-144.598073435617	-144.3943784591891	2.894214436682155
5.6	2.894229562741212	-145.6696223680726	-145.663244175283	2.894231216991223
5.7	2.894069607289542	-151.0350655473653	-151.2630427100721	2.894070578731317
5.8	2.89384061935594	-126.5012917455764	-126.5246050113079	2.893840138025452
5.9	2.894035458311382	-142.6110846471651	-142.8254608118577	2.89403634355116
6	2.89416837307229	-131.3925949284574	-131.4415652699037	2.894169223118209
6.1	2.894235054191503	-136.6767631088086	-136.6128911220944	2.894232692082031
6.2	2.894161985083676	-134.1177698688355	-134.145296906794	2.894163926846182
6.3	2.893987283710216	-137.8997732257247	-137.7355375183544	2.893987293363784
6.4	2.893959567348618	-132.7408504898236	-132.7690179406591	2.893959590381187
6.5	2.89410753727592	-153.4163045052618	-153.7905518403074	2.894105810368647
6.6	2.894191194234543	-138.6024888910945	-138.7901504974287	2.894193085122118
6.7	2.894173548178554	-150.6720808199838	-151.0847812115616	2.894175199239755
6.8	2.89406983459596	-150.2101669942774	-150.2031649936017	2.894069790482266
6.9	2.893987097974829	-138.7297387120216	-138.7092862576437	2.893986190756173
7	2.894046214327206	-130.1629038619265	-130.1479081240423	2.894044941010216
7.1	2.894161408794793	-142.135870222513	-142.3979134068939	2.894163548326288
7.2	2.894171388759756	-144.5302785051097	-144.43357180735	2.894171110246807
7.3	2.894157218647286	-145.0369284013705	-145.1379964695987	2.89415903748075
7.4	2.89411267865199	-138.0369407661903	-137.9266560681376	2.894113722093791
7.5	2.894128955843411	-140.2600700989708	-140.4029569587896	2.894128216922207
7.6	2.894214282648239	-145.162542634109	-146.2968029420138	2.894214173099611
7.7	2.894234579501796	-141.6771411754965	-141.8443318843472	2.894232671471499
7.8	2.894206706303525	-138.8810667924535	-138.6117756803051	2.894206023211486
7.9	2.894158037342712	-149.3974770904064	-149.9179695996785	2.894161095619828
8	2.894147076707015	-141.9066799350941	-142.1321674280238	2.894145845046543
8.1	2.89418273157903	-139.137005544309	-138.9662921026035	2.894184679933188
8.199999999999999	2.894169527137387	-160.0571548623779	-159.973883658939	2.894170643359812
8.300000000000001	2.894211942322209	-141.6172839503461	-141.7965608378203	2.894211772380719
8.4	2.894202482512628	-133.3271545426178	-133.2732186968162	2.894205163397072
8.5	2.894176695261472	-149.005927474492	-148.9957546786704	2.894174362559501
8.6	2.894243703803637	-141.3297134700198	-141.3674292461095	2.894244127336166
8.699999999999999	2.894168272228499	-136.0562699956278	-135.9927180274292	2.894167367660559
8.800000000000001	2.894173001428151	-133.4115680728385	-133.5559473623161	2.894173702135241
8.9	2.894194725172302	-144.2140799156603	-144.5475681237082	2.894194217063997
9	2.894100809532751	-142.6044755922285	-142.7900683134525	2.894099448686942
9.1	2.894196257913105	-140.9230370863637	-140.9332970879157	2.894196127922663
9.199999999999999	2.894160693674236	-142.3445426119269	-142.5157586103223	2.894161958530566
9.300000000000001	2.894114729570252	-143.7172616400607	-143.7344080672661	2.894115357445466
9.4	2.894186789539561	-137.6729736459342	-137.9362605652366	2.89418791066335
9.5	2.894120510621572	-129.9657886759807	-129.8324339499811	2.894117843710292
9.6	2.894171983036575	-154.4443575146215	-154.8732647151912	2.894171586718135
9.699999999999999	2.894170078839393	-139.2419490837654	-139.2234114790475	2.894168210314926
9.800000000000001	2.894111503667975	-142.0929432649375	-142.0120147673312	2.894110018690021
9.9	2.894210381940475	-145.922198890595	-146.0514739579534	2.894211046480562
10	2.894140354363453	-135.6025010543223	-135.5512171102969	2.894139623822991
10.1	2.89412678696668	-153.3550470043988	-153.6897736927633	2.894126994333725
10.2	2.894126242261774	-149.1638830779781	-148.7831509003304	2.894126998914024
10.3	2.894053442212678	-130.1797795448547	-130.1637854411006	2.894051577890059
10.4	2.894120278904854	-136.481645513962	-136.3402997246961	2.894121423619134
10.5	2.894074471460177	-136.6962325788726	-136.7692052986586	2.894075017273336
10.6	2.893987147421546	-135.5787465316523	-135.6916706372096	2.893986196082595
10.7	2.893974562824842	-135.1549799838798	-135.4028705396194	2.893975709438924
10.8	2.893914760434042	-142.0738949937065	-142.8901700909913	2.89390949930819
10.9	2.893971229783817	-143.1377540047113	-144.2125464538752	2.89397112255223
11	2.893994372629533	-145.1970561744383	-144.8809798140567	2.893994882389306
11.1	2.893965164634442	-137.7893004020219	-137.7491984907071	2.893967038919445
11.2	2.893921531579352	-143.9036812172072	-143.5040185579025	2.89392454840068
11.3	2.893843663931259	-131.7261471197649	-131.8428119113724	2.893844935901102
11.4	2.89380873583122	-148.1798889243233	-147.5206846653537	2.893811531692573
11.5	2.893769120789032	-143.5929200003219	-142.9947509942737	2.893769861198528
11.6	2.893824331509498	-150.4232102913909	-148.6086276059529	2.893823089848953
11.7	2.893842228165652	-138.5804095864559	-139.1895665888579	2.893843674113432
11.8	2.893820331523114	-131.9713875173041	-132.1463933312924	2.893822331129269
11.9	2.893825378718354	-135.0066138525945	-135.4800412975506	2.893825419839491
12	2.893797664426176	-143.0514608773578	-144.6565343844553	2.893796943870024
12.1	2.893683691370659	-143.5494853086427	-142.2001976324425	2.893683723001747
12.2	2.893555818856124	-142.5522006802897	-142.6922725947005	2.893556335026821
12.3	2.893568606136089	-145.3286668431803	-142.615983080748	2.893568693617008
12.4	2.89366638240133	-142.4014100295248	-145.3222300498579	2.893665161803706
12.5	2.893716398909901	-138.3898619015597	-137.4859383995458	2.893714965053943
12.6	2.89372238047041	-133.7524850343142	-133.9847566125681	2.893723425173458
12.7	2.893667797573706	-142.5644347500202	-142.6041529249503	2.893668321672119
