"IWavePhi [deg]"	"MonostaticRCSTotal []"
0	2.4792886815447e-05
0.25	2.47022155574501e-05
0.5	2.4497279885958e-05
0.75	2.42203374299022e-05
1	2.39186724286918e-05
1.25	2.36417451930367e-05
1.5	2.34385513538311e-05
1.75	2.33539857423793e-05
2	2.34255848915734e-05
2.25	2.36799857164016e-05
2.5	2.41296144239848e-05
2.75	2.47706954223988e-05
3	2.55810474410094e-05
3.25	2.65202109012268e-05
3.5	2.75298900420489e-05
3.75	2.85365809076597e-05
4	2.9455493798727e-05
4.25	3.01955806035252e-05
4.5	3.06660346343634e-05
4.75	3.07835766162647e-05
5	3.04796056864303e-05
5.25	2.97070597373627e-05
5.5	2.84467079824506e-05
5.75	2.67105799407462e-05
6	2.45441563862025e-05
6.25	2.20251274754529e-05
6.5	1.92592789615044e-05
6.75	1.63736103383537e-05
7	1.3506979554835e-05
7.25	1.07988933214043e-05
7.5	8.3778680261052e-06
7.75	6.34978772649507e-06
8	4.78859559812165e-06
8.25	3.72938902240942e-06
8.5	3.16555435943057e-06
8.75	3.05018403539886e-06
9	3.30173710072894e-06
9.25	3.81345796701584e-06
9.5	4.46552963809117e-06
9.75	5.13855537543394e-06
10	5.72627515401227e-06
10.25	6.14665992524462e-06
10.5	6.34925935402248e-06
10.75	6.31855866795382e-06
11	6.07210904810859e-06
11.25	5.65527272027128e-06
11.5	5.15397623216554e-06
11.75	4.60122303532609e-06
12	4.08390505819091e-06
12.25	3.65837443891365e-06
12.5	3.35977793048689e-06
12.75	3.19739394844126e-06
13	3.15377307188873e-06
13.25	3.18782188209082e-06
13.5	3.2416676989197e-06
13.75	3.2507096037703e-06
14	3.15585285205922e-06
14.25	2.91629764800628e-06
14.5	2.52074045482398e-06
14.75	1.99457402462094e-06
15	1.4002450697984e-06
15.25	8.29650718193983e-07
15.5	3.8760894441578e-07
15.75	1.6918341712717e-07
16	2.3508659649187e-07
16.25	5.91775025049697e-07
16.5	1.18293238804411e-06
16.75	1.89716737141517e-06
17	2.59269223480693e-06
17.25	3.13368167248026e-06
17.5	3.42858517284156e-06
17.75	3.45753172463085e-06
18	3.27738833949268e-06
18.25	3.00101432241643e-06
18.5	2.75497356652472e-06
18.75	2.63090648504852e-06
19	2.64957909333205e-06
19.25	2.75442910684945e-06
19.5	2.83928463824109e-06
19.75	2.80109202726008e-06
20	2.5936844904081e-06
20.25	2.2565928707973e-06
20.5	1.90077202418674e-06
20.75	1.65505958648402e-06
21	1.59725170145419e-06
21.25	1.70694714550411e-06
21.5	1.86950455885177e-06
21.75	1.93527783782731e-06
22	1.80682634816313e-06
22.25	1.50537702594042e-06
22.5	1.1746319149366e-06
22.75	9.53721503690918e-07
23	1.14149461774782e-06
23.25	1.65604147607333e-06
23.5	2.36467075586804e-06
23.75	3.0675344647657e-06
24	3.60987031019303e-06
24.25	3.95845126169612e-06
24.5	4.18939139613236e-06
24.75	4.39458343751324e-06
25	4.57506475008778e-06
25.25	4.60612361203353e-06
25.5	4.31059032484246e-06
25.75	3.59913172800852e-06
26	2.57756111781326e-06
26.25	1.53649401329759e-06
26.5	8.16653685212278e-07
26.75	6.30988820259456e-07
27	9.54799252806084e-07
27.25	1.5471568129756e-06
27.5	2.08062839304123e-06
27.75	2.29962284336746e-06
28	2.13280756857867e-06
28.25	1.72621840933659e-06
28.5	1.39062155912561e-06
28.75	1.46012378205742e-06
29	2.08560428374646e-06
29.25	3.06196126946366e-06
29.5	3.85356730854425e-06
29.75	3.91386783910084e-06
30	3.1517564297779e-06
30.25	2.15668920853279e-06
30.5	1.85017938185824e-06
30.75	2.68854076314364e-06
31	4.07788400915361e-06
31.25	4.69185735445203e-06
31.5	3.6568813617257e-06
31.75	1.61321592293793e-06
32	4.76217364944298e-07
32.25	1.78486356014333e-06
32.5	5.03278475354864e-06
32.75	7.7550757880246e-06
33	7.64931617954535e-06
33.25	4.8580033648591e-06
33.5	2.01529226105833e-06
33.75	1.72016004118964e-06
34	3.92288825338107e-06
34.25	5.85760227640507e-06
34.5	5.1774113430434e-06
34.75	2.47509350898825e-06
35	6.94557375432964e-07
35.25	1.7845350579531e-06
35.5	4.42489872619717e-06
35.75	5.52962301890597e-06
36	3.82017624082091e-06
36.25	1.23705600930488e-06
36.5	5.47225304787134e-07
36.75	2.14290538222541e-06
37	3.90484061262949e-06
37.25	4.00262583375925e-06
37.5	2.86572835912197e-06
37.75	2.02698207487276e-06
38	1.90483030786853e-06
38.25	1.71945928332361e-06
38.5	1.24588358564317e-06
38.75	1.3467218507016e-06
39	2.36699490554627e-06
39.25	3.10723490050241e-06
39.5	2.36471765297524e-06
39.75	8.74358262247276e-07
40	5.11153208780907e-07
40.25	1.70628920442794e-06
40.5	2.88392132019205e-06
40.75	2.69578383791763e-06
41	1.63769886298158e-06
41.25	9.14029945192134e-07
41.5	7.93794840855545e-07
41.75	8.70156367145134e-07
42	9.55891098924658e-07
42.25	8.50232532408435e-07
42.5	3.2897577153931e-07
42.75	3.49371805636113e-07
43	2.60592067608196e-06
43.25	6.20574737488515e-06
43.5	6.99714000695898e-06
43.75	3.3515783696699e-06
44	4.27994554712054e-07
44.25	3.63827950603119e-06
44.5	9.26891300238266e-06
44.75	8.73421559080943e-06
45	2.45254950840343e-06
45.25	4.06151902347197e-07
45.5	6.24855857754559e-06
45.75	1.07628267020117e-05
46	6.98323885690606e-06
46.25	1.61494459517034e-06
46.5	2.44054619267539e-06
46.75	4.93313160790075e-06
47	2.96346038559184e-06
47.25	2.06393818988997e-06
47.5	7.52878288467221e-06
47.75	1.06001747020537e-05
48	4.30090312726372e-06
48.25	8.30201155590617e-07
48.5	1.13838212110942e-05
48.75	2.1774323742447e-05
49	1.46286671816423e-05
49.25	2.12155087098815e-06
49.5	5.43205628505889e-06
49.75	1.5930660668338e-05
50	1.23842732578697e-05
50.25	1.85984321032547e-06
50.5	4.5419535200558e-06
50.75	1.36679443266991e-05
51	1.06572698614195e-05
51.25	1.89177305000185e-06
51.5	2.08917505220562e-06
51.75	4.5522758136569e-06
52	2.11871633943813e-06
52.25	5.98442195616397e-06
52.5	1.59526416195097e-05
52.75	1.38214422791519e-05
53	4.39910856066961e-06
53.25	1.00375801880813e-05
53.5	2.02247150059918e-05
53.75	1.10067815116121e-05
54	1.01612346819966e-06
54.25	1.51374940738935e-05
54.5	2.69890834958936e-05
54.75	1.23888408734651e-05
55	1.40340435795884e-06
55.25	1.13469469993364e-05
55.5	1.23739353145071e-05
55.75	3.0967835849099e-06
56	1.3181078931012e-05
56.25	2.50091314260722e-05
56.5	1.2022802044784e-05
56.75	9.40079986583873e-06
57	3.12994542056747e-05
57.25	2.75301793649011e-05
57.5	5.22595324484637e-06
57.75	2.36792400104327e-05
58	4.82767542255653e-05
58.25	2.10800693586094e-05
58.5	5.376695900149e-06
58.75	4.04964816503044e-05
59	4.04376569099267e-05
59.25	6.80653835413344e-06
59.5	3.74267450089304e-05
59.75	7.42534685134621e-05
60	2.8415496627137e-05
60.25	1.55571866042931e-05
60.5	8.34918256136418e-05
60.75	7.38408118303798e-05
61	1.28815458665043e-05
61.25	6.78654750603186e-05
61.5	0.000119367970197471
61.75	4.44553072691475e-05
62	4.95182543687944e-05
62.25	0.000153099450295467
62.5	0.000100657311393323
62.75	1.85898485695083e-05
63	0.000132275041779484
63.25	0.000170169488401602
63.5	3.39863201821124e-05
63.75	8.16029676468107e-05
64	0.000202905810066933
64.25	8.00124291315519e-05
64.5	6.26552580223355e-05
64.75	0.000274644116878303
65	0.000194404764669978
65.25	2.01210012015802e-05
65.5	0.000262205591545748
65.75	0.000360185822743498
66	6.28974978157378e-05
66.25	0.000178484544957053
66.5	0.00047687763034497
66.75	0.000184319388827787
67	8.56620843474425e-05
67.25	0.000541217558596775
67.5	0.000395493455107559
67.75	2.65442184148977e-05
68	0.000512294423858247
68.25	0.000676585210696105
68.5	6.19800337477837e-05
68.75	0.000359601544550646
69	0.000972194401103603
69.25	0.000332960825355726
69.5	0.0001108995847696
69.75	0.00100079059619696
70	0.000754672983035019
70.25	3.83306427904673e-05
70.5	0.000829195497551856
70.75	0.0012194572543151
71	0.000361739871605661
71.25	0.000681737322932106
71.5	0.00157211295807012
71.75	0.00113466420141414
72	0.000979610224411216
72.25	0.00180286664020146
72.5	0.00214577797540204
72.75	0.00238506093729457
73	0.00282970937334793
73.25	0.00329352533080437
73.5	0.00487056287846088
73.75	0.0060649001268109
74	0.00568524324829116
74.25	0.00794039285953853
74.5	0.0121383048604011
74.75	0.0123330512017504
75	0.0132907597101524
75.25	0.0207593977535963
75.5	0.0263759727472029
75.75	0.0279392505044322
76	0.0354537239001021
76.25	0.046926535848895
76.5	0.0557494009415627
76.75	0.0671438091781837
77	0.081209507040616
77.25	0.0951062217605653
77.5	0.117511027813096
77.75	0.144371499967809
78	0.161141494456849
78.25	0.181075563624014
78.5	0.217943852504388
78.75	0.250160945247901
79	0.268472795051839
79.25	0.293844445452909
79.5	0.323506508894455
79.75	0.339660190484837
80	0.3542623031507
80.25	0.371735616198116
80.5	0.369583220238566
80.75	0.352885076961356
81	0.351025116333377
81.25	0.36029181291505
81.5	0.358201630030934
81.75	0.35209162676374
82	0.36234467016247
82.25	0.383284571157609
82.5	0.398559423318741
82.75	0.415242215670455
83	0.446418301830718
83.25	0.475403403450088
83.5	0.47793440017777
83.75	0.463824472559785
84	0.457307682620187
84.25	0.45766784525835
84.5	0.452357916903639
84.75	0.448230051361063
85	0.463812462028104
85.25	0.498190616750012
85.5	0.525919339228575
85.75	0.529467046057679
86	0.520879251497056
86.25	0.518914561685083
86.5	0.523486716823686
86.75	0.525451527674029
87	0.525837866500569
87.25	0.534755542832279
87.5	0.553813696078272
87.75	0.566228706059786
88	0.555147996992478
88.25	0.528186945214282
88.5	0.510755363562774
88.75	0.518413976329152
89	0.541311835586461
89.25	0.553303979930155
89.5	0.539406162083217
